위도,경도,정류장명
35.21522071,129.0249161,기비골아파트101동후문
35.21671441,129.0206671,도개공아파트110동
35.21862178,129.0206765,도개공아파트115동
35.21791754,129.0206384,도개공아파트116동
35.24240485,129.0257997,흥아농장입구
35.24178308,129.0202413,장원아파트
35.24164692,129.0221338,대천리중학교
35.24004544,129.0168882,푸르지오헤리센트아파트
35.23917487,129.0150732,북구보건소
35.24166855,129.0222383,그린숲속아파트
35.24176595,129.0205006,장원아파트
35.24101439,129.0185499,금화횟집
35.23998571,129.0167764,푸르지오헤리센트
35.23914467,129.0149755,북구보건소
35.24436677,129.0216952,코오롱아파트
35.24374565,129.0194008,정화양로원
35.24194194,129.0154372,경남아파트
35.24201593,129.01577,경남아파트
35.24384457,129.019663,정화양로원
35.24433426,129.0214222,코오롱아파트
35.24393316,129.0292924,애기소
35.19880954,128.9900981,한중병원
35.19653584,128.9876824,북구청
35.19859032,128.9898652,한중병원
35.19682263,128.9873987,북구청
35.19711367,128.9883772,구포축산물도매시장
35.19717513,128.9909533,북구청
35.19476745,128.9902603,북부자동차학원
35.19688067,128.989947,북구청
35.20314676,129.0000497,구명역
35.20406576,129.0008286,구포초등학교
35.20030236,128.9995436,구포교회
35.19943895,129.000258,새생명교회
35.20050199,128.9974433,구남시장
35.20060166,128.9975171,구남시장
35.20108828,128.9922813,구포삼거리
35.20164361,128.9927613,구포삼거리
35.10754447,128.9264231,강서구생활문화센터
35.10709,128.92667,명치초교후문
35.10709598,128.9266943,명지초교후문
35.10624934,128.925866,학생안전체험관
35.10305246,128.9225503,군보입구
35.1019255,128.9193076,만송유치원
35.100552,128.912913,평성회관
35.100651,128.913862,상신입구
35.100905,128.9150583,평성입구
35.10115833,128.9165717,조동입구
35.10069427,128.9138636,상신입구
35.10056886,128.9128565,평성회관
35.10176874,128.9191558,만송유치원
35.10294856,128.9226285,군보입구
35.10599823,128.925974,학생안전체험관
35.10128584,128.916773,조동입구
35.10091367,128.9149663,평성입구
35.19204831,128.9095049,덕포마을
35.19276103,128.914156,강동교회
35.19544264,128.9132638,상덕마을
35.19257658,128.9164159,덕도초등학교
35.19416924,128.9172922,덕계마을
35.19415562,128.9170935,덕계마을
35.19925101,128.9159232,북정마을
35.19952707,128.9159236,북정마을
35.21043573,128.9218719,중덕마을
35.19276311,128.9140243,강동교회
35.19541315,128.913165,상덕마을
35.19225172,128.9087737,덕포마을
35.13579833,128.921235,신노전
35.13579833,128.921235,신노전
35.13649895,128.9247352,강서예술촌 황라도
35.14531586,128.9282124,군라
35.1485838,128.9281414,상납청
35.15697333,128.9272183,대저초등학교
35.15716471,128.927373,대저초등학교
35.15701199,128.9383346,월포
35.16173918,128.9538693,금호마을
35.16322758,128.9579413,금호마을
35.18492215,128.92497,신평마을
35.1753172,128.9232916,성심정미소
35.18875571,128.9270551,신평종점
35.17732267,128.9229989,입소마을회관
35.17978239,128.9242728,공항기숙사후문
35.18702849,128.9259366,신평마을회관
35.21484398,128.9877814,변덕마을
35.21547805,128.9862236,변덕초소
35.21550166,128.9857903,변덕초소
35.21544039,128.9832028,강서고교
35.21537537,128.9833674,강서고교
35.21531191,128.9805529,대저1동사무소
35.143516,128.872664,세산초등학교
35.14618351,128.8616585,우성전기
35.09113223,128.8302475,(주)태광본사
35.08885599,128.9024312,명지신도시
35.08886737,128.900871,신호대교
35.08864551,128.8967259,신호대교
35.08871724,128.8967495,명지오션시티
35.19134276,129.0886472,경찰전직지원센터
35.18883352,129.0849416,웰니스병원.연산농협
35.19277356,129.090482,연안교
35.19129794,129.0881539,경찰전직지원센터
35.19171636,129.0814815,부산은행 연서지점
