위도,경도
35.110905,129.035121
35.110905,129.035121
35.110905,129.035121
35.110905,129.035121
35.110905,129.035121
35.103814,129.027592
35.103814,129.027592
35.103814,129.027592
35.103814,129.027592
35.109886,129.032387
35.109886,129.032387
35.109886,129.032387
35.109886,129.032387
35.114466,129.03162
35.107105,129.030824
35.103467,129.029371
35.103467,129.029371
35.103467,129.029371
35.103467,129.029371
35.103747,129.033342
35.103747,129.033342
35.103747,129.033342
35.103747,129.033342
35.112777,129.033583
35.11212,129.037284
35.11212,129.037284
35.101775,129.031763
35.101775,129.031763
35.101775,129.031763
35.101775,129.031763
35.10685,129.033419
35.10685,129.033419
35.10685,129.033419
35.10685,129.033419
35.10685,129.033419
35.10685,129.033419
35.101882,129.023783
35.101882,129.023783
35.101882,129.023783
35.101882,129.023783
35.101882,129.023783
35.11176,129.029362
35.11176,129.029362
35.11176,129.029362
35.11176,129.029362
35.110416,129.029568
35.110416,129.029568
35.110416,129.029568
35.110416,129.029568
35.112529,129.0313
35.112529,129.0313
35.112529,129.0313
35.112529,129.0313
35.112529,129.0313
35.107008,129.035098
35.107008,129.035098
35.107008,129.035098
35.107008,129.035098
35.107008,129.035098
35.106796,129.023751
35.106796,129.023751
35.106796,129.023751
35.106796,129.023751
35.105483,129.028003
35.105483,129.028003
35.105483,129.028003
35.105483,129.028003
35.106502,129.037536
35.112777,129.035045
35.112777,129.035045
35.112777,129.035045
35.112777,129.035045
35.112777,129.035045
35.104916,129.027548
35.107263,129.026115
35.108332,129.023613
35.107586,129.025646
35.107586,129.025646
35.107586,129.025646
35.108759,129.033664
35.108759,129.033664
35.108759,129.033664
35.108771,129.034407
35.108771,129.034407
35.108771,129.034407
35.108771,129.034407
35.109561,129.033398
35.103868,129.034735
35.103868,129.034735
35.103868,129.034735
35.103868,129.034735
35.101763,129.03437
35.101763,129.03437
35.101763,129.03437
35.101763,129.03437
35.105368,129.028856
35.102485,129.021402
35.102485,129.021402
35.102485,129.021402
35.102485,129.021402
35.10346,129.026415
35.108351,129.02278
35.105824,129.026211
35.097369,129.025924
35.097369,129.025924
35.097369,129.025924
35.097369,129.025924
35.097412,129.028232
35.097412,129.028232
35.097412,129.028232
35.097412,129.028232
35.097412,129.028232
35.097284,129.035714
35.097284,129.035714
35.097284,129.035714
35.097284,129.035714
35.097284,129.035714
35.097284,129.035714
35.10655025,129.0353868
35.10655025,129.0353868
35.10655025,129.0353868
35.10655025,129.0353868
35.114869,129.034435
35.107833,129.029627
35.107833,129.029627
35.107833,129.029627
35.107833,129.029627
35.111827,129.031385
35.108473,129.032546
35.108473,129.032546
35.108473,129.032546
35.10375,129.022718
35.10375,129.022718
35.10375,129.022718
35.10375,129.022718
35.110585,129.031949
35.110585,129.031949
35.110585,129.031949
35.101235,129.036161
35.101235,129.036161
35.101235,129.036161
35.101235,129.036161
35.111306,129.034355
35.100691,129.031114
35.100691,129.031114
35.100691,129.031114
35.100691,129.031114
35.099954,129.035273
35.099954,129.035273
35.099954,129.035273
35.099954,129.035273
35.104669,129.030354
35.104669,129.030354
35.104669,129.030354
35.1072,129.03611
35.1072,129.03611
35.1072,129.03611
35.1072,129.03611
35.106476,129.024275
35.101774,129.025211
35.101774,129.025211
35.101774,129.025211
35.101774,129.025211
35.101912,129.03504
35.101912,129.03504
35.101912,129.03504
35.107658,129.033061
35.10532,129.030637
35.107332,129.024932
35.107332,129.024932
35.100189,129.024246
35.100189,129.024246
35.100189,129.024246
35.100189,129.024246
35.108852,129.031316
35.108852,129.031316
35.108852,129.031316
35.108852,129.031316
35.111569,129.037064
35.111569,129.037064
35.111569,129.037064
35.111569,129.037064
35.111569,129.037064
35.099388,129.031298
35.099388,129.031298
35.099388,129.031298
35.099388,129.031298
35.099388,129.031298
35.112768,129.031685
35.112768,129.031685
35.112768,129.031685
35.112768,129.031685
35.112768,129.031685
35.10502,129.034931
35.105035,129.026109
35.097202,129.029625
35.097202,129.029625
35.097202,129.029625
35.097202,129.029625
35.097202,129.029625
35.105943,129.030822
35.105943,129.030822
35.105943,129.030822
35.103543,129.031941
35.103543,129.031941
35.103543,129.031941
35.103543,129.031941
35.101289,129.037069
35.101289,129.037069
35.101289,129.037069
35.101289,129.037069
35.098927,129.029021
35.098927,129.029021
35.098927,129.029021
35.098927,129.029021
35.109686,129.03131
35.109686,129.03131
35.109686,129.03131
35.111562,129.033111
35.111562,129.033111
35.111562,129.033111
35.111562,129.033111
35.113216,129.033104
35.113216,129.033104
35.113216,129.033104
35.113216,129.033104
35.109776,129.029986
35.098955,129.027175
35.098955,129.027175
35.098955,129.027175
35.112618,129.036057
35.101381,129.028779
35.104192,129.02722
35.108092,129.035404
35.099438,129.028432
35.099438,129.028432
35.099438,129.028432
35.099438,129.028432
35.106871,129.024882
35.110333,129.036357
35.105763,129.027996
35.110261,129.035834
35.110261,129.035834
35.110261,129.035834
35.110261,129.035834
35.109215,129.036137
35.113885,129.034974
35.104956,129.021657
35.108537,129.026483
35.107414,129.034486
35.108157,129.031277
35.108157,129.031277
35.108157,129.031277
35.108157,129.031277
35.102315,129.030351
35.102315,129.030351
35.102315,129.030351
35.102315,129.030351
35.102218,129.028752
35.102218,129.028752
35.102218,129.028752
35.102218,129.028752
35.102218,129.028752
35.110761,129.037168
35.110761,129.037168
35.110761,129.037168
35.110761,129.037168
35.110761,129.037168
35.113961,129.031898
35.105649,129.02591
35.104046,129.032288
35.104046,129.032288
35.104046,129.032288
35.110462,129.03837
35.110462,129.03837
35.110462,129.03837
35.110462,129.03837
35.110462,129.03837
35.10697,129.024246
35.10635496,129.0321391
35.106255,129.02482
35.100449,129.026472
35.100449,129.026472
35.100449,129.026472
35.100449,129.026472
35.100449,129.026472
35.113769,129.035688
35.113769,129.035688
35.113769,129.035688
35.113769,129.035688
35.113769,129.035688
35.113409,129.03138
35.103841,129.034073
35.102366,129.022723
35.102366,129.022723
35.102366,129.022723
35.102366,129.022723
35.111974,129.035378
35.111974,129.035378
35.111974,129.035378
35.106437,129.034121
35.106437,129.034121
35.106437,129.034121
35.097603,129.032161
35.097603,129.032161
35.097603,129.032161
35.097603,129.032161
35.106515,129.026801
35.106515,129.026801
35.106515,129.026801
35.106515,129.026801
35.102649,129.026513
35.102649,129.026513
35.102649,129.026513
35.100236,129.035766
35.100236,129.035766
35.100236,129.035766
35.100236,129.035766
35.100236,129.035766
35.105624,129.031053
35.103393,129.028774
35.107792,129.034635
35.104114,129.028106
35.113695,129.033808
35.111507,129.028956
35.111507,129.028956
35.111507,129.028956
35.105098,129.032419
35.10083,129.033829
35.10083,129.033829
35.10083,129.033829
35.103699,129.023943
35.111486,129.033751
