법정동코드,법정동명,폐지여부
2614010200,부산광역시 서구 동대신동2가,존재
2614010300,부산광역시 서구 동대신동3가,존재
2614010400,부산광역시 서구 서대신동1가,존재
2614010500,부산광역시 서구 서대신동2가,존재
2614010600,부산광역시 서구 서대신동3가,존재
2614010700,부산광역시 서구 부용동1가,존재
2614010800,부산광역시 서구 부용동2가,존재
2614010900,부산광역시 서구 부민동1가,존재
2614011000,부산광역시 서구 부민동2가,존재
2614011100,부산광역시 서구 부민동3가,존재
2614011200,부산광역시 서구 토성동1가,존재
2614011300,부산광역시 서구 토성동2가,존재
2614011400,부산광역시 서구 토성동3가,존재
2614011500,부산광역시 서구 아미동1가,존재
2614011600,부산광역시 서구 아미동2가,존재
2614011700,부산광역시 서구 토성동4가,존재
2614011800,부산광역시 서구 토성동5가,존재
2614011900,부산광역시 서구 초장동,존재
2614012000,부산광역시 서구 충무동1가,존재
2614012100,부산광역시 서구 충무동2가,존재
2614012200,부산광역시 서구 충무동3가,존재
2614012300,부산광역시 서구 남부민동,존재
2614012400,부산광역시 서구 암남동,존재
2617000000,부산광역시 동구,존재
2617010100,부산광역시 동구 초량동,존재
2617010200,부산광역시 동구 수정동,존재
2617010300,부산광역시 동구 좌천동,존재
2617010400,부산광역시 동구 범일동,존재
2620000000,부산광역시 영도구,존재
2620010100,부산광역시 영도구 대교동1가,존재
2620010200,부산광역시 영도구 대교동2가,존재
2620010300,부산광역시 영도구 대평동1가,존재
2620010400,부산광역시 영도구 대평동2가,존재
2620010500,부산광역시 영도구 남항동1가,존재
2620010600,부산광역시 영도구 남항동2가,존재
2620010700,부산광역시 영도구 남항동3가,존재
2620010800,부산광역시 영도구 영선동1가,존재
2620010900,부산광역시 영도구 영선동2가,존재
2620011000,부산광역시 영도구 영선동3가,존재
2620011100,부산광역시 영도구 영선동4가,존재
2620011200,부산광역시 영도구 신선동1가,존재
2620011300,부산광역시 영도구 신선동2가,존재
2620011400,부산광역시 영도구 신선동3가,존재
2620011500,부산광역시 영도구 봉래동1가,존재
2620011600,부산광역시 영도구 봉래동2가,존재
2620011700,부산광역시 영도구 봉래동3가,존재
2620011800,부산광역시 영도구 봉래동4가,존재
2620011900,부산광역시 영도구 봉래동5가,존재
2620012000,부산광역시 영도구 청학동,존재
2620012100,부산광역시 영도구 동삼동,존재
2623000000,부산광역시 부산진구,존재
2623010100,부산광역시 부산진구 양정동,존재
2623010200,부산광역시 부산진구 전포동,존재
2623010300,부산광역시 부산진구 부전동,존재
2623010400,부산광역시 부산진구 범천동,존재
2623010500,부산광역시 부산진구 범전동,존재
