시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU
부산광역시 수영구 광안동,135-3,0135,0003,하늘마루,전세,27.53,202601,"10,000",0,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001350003
부산광역시 수영구 광안동,97-28,0097,0028,아모빌,월세,20.3,202601,500,36,4,2011,부산광역시,수영구,광안동,0,2650010400,2650010400000970028
부산광역시 사상구 괘법동,270-4,0270,0004,파라다이스,월세,22.05,202601,200,37,2,2013,부산광역시,사상구,괘법동,0,2653010400,2653010400002700004
부산광역시 연제구 연산동,1386-29,1386,0029,단아빌,월세,19.04,202601,"1,900",30,4,2012,부산광역시,연제구,연산동,0,2647010200,2647010200013860029
부산광역시 사상구 괘법동,525-44,0525,0044,파라다이스2,전세,25.22,202601,"5,000",0,5,2014,부산광역시,사상구,괘법동,0,2653010400,2653010400005250044
부산광역시 사상구 괘법동,525-3,0525,0003,신승빌,월세,16.19,202601,300,35,5,2013,부산광역시,사상구,괘법동,0,2653010400,2653010400005250003
부산광역시 수영구 남천동,16-20,0016,0020,GoodMateStudio,전세,18.4,202601,"5,000",0,2,2011,부산광역시,수영구,남천동,0,2650010500,2650010500000160020
부산광역시 수영구 광안동,1075-27,1075,0027,이룸하우스,월세,16.65,202601,"2,000",30,2,2013,부산광역시,수영구,광안동,0,2650010400,2650010400010750027
부산광역시 연제구 연산동,2138-21,2138,0021,이화The뷰,월세,26.5381,202601,"1,000",50,5,2022,부산광역시,연제구,연산동,0,2647010200,2647010200021380021
부산광역시 수영구 남천동,36-12,0036,0012,베니스,월세,19.46,202601,500,35,5,2011,부산광역시,수영구,남천동,0,2650010500,2650010500000360012
부산광역시 수영구 남천동,36-12,0036,0012,베니스,월세,17.175,202601,500,35,4,2011,부산광역시,수영구,남천동,0,2650010500,2650010500000360012
부산광역시 수영구 광안동,753-4,0753,0004,로드더숲에이,월세,23.84,202601,"1,000",42,2,2017,부산광역시,수영구,광안동,0,2650010400,2650010400007530004
부산광역시 수영구 광안동,120-251,0120,0251,부자이룸,월세,22.521,202601,500,54,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001200251
부산광역시 수영구 광안동,167-45,0167,0045,광안오션빌,월세,16.23,202601,500,29,3,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001670045
부산광역시 수영구 광안동,659-8,0659,0008,센티움시티7차,월세,19.4246,202601,"2,000",42,9,2018,부산광역시,수영구,광안동,0,2650010400,2650010400006590008
부산광역시 수영구 광안동,186-5,0186,0005,부성베스트빌라,월세,26.68,202601,200,27,3,2002,부산광역시,수영구,광안동,0,2650010400,2650010400001860005
부산광역시 수영구 광안동,133-35,0133,0035,명성갤러리2,월세,16.647,202601,500,32,2,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001330035
부산광역시 수영구 광안동,110-10,0110,0010,에스에이치창,전세,21.86,202601,"10,000",0,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001100010
부산광역시 서구 동대신동3가,100-5,0100,0005,트라팰리스(100-5),월세,16.78,202601,"4,500",38,7,2018,부산광역시,서구,동대신동3가,0,2614010300,2614010300001000005
부산광역시 북구 구포동,413-33,0413,0033,(413-33),월세,29.258,202601,"1,000",45,2,2016,부산광역시,북구,구포동,0,2632010500,2632010500004130033
부산광역시 북구 구포동,915-28,0915,0028,하승메르디앙,월세,22.36,202601,"1,000",40,9,2019,부산광역시,북구,구포동,0,2632010500,2632010500009150028
부산광역시 북구 덕천동,412-23,0412,0023,애플하우스,월세,19.69,202601,"2,000",30,8,2017,부산광역시,북구,덕천동,0,2632010400,2632010400004120023
부산광역시 연제구 거제동,747-28,0747,0028,골든캐슬,월세,15.137,202601,"7,700",10,3,2019,부산광역시,연제구,거제동,0,2647010100,2647010100007470028
부산광역시 해운대구 재송동,210-9,0210,0009,센텀프라다,월세,22.04,202601,"1,000",34,5,2018,부산광역시,해운대구,재송동,0,2635010400,2635010400002100009
부산광역시 서구 토성동3가,13-30,0013,0030,단디하우스,월세,15.0,202601,"2,000",40,8,2018,부산광역시,서구,토성동3가,0,2614011400,2614011400000130030
부산광역시 금정구 장전동,335-14,0335,0014,효원아트빌,월세,19.38,202601,500,36,7,2000,부산광역시,금정구,장전동,0,2641010800,2641010800003350014
부산광역시 연제구 거제동,747-5,0747,0005,TIMELEADERS,전세,16.02,202601,"7,300",0,2,2022,부산광역시,연제구,거제동,0,2647010100,2647010100007470005
부산광역시 금정구 장전동,335-14,0335,0014,효원아트빌,월세,25.0,202601,500,40,5,2000,부산광역시,금정구,장전동,0,2641010800,2641010800003350014
부산광역시 금정구 장전동,383-24,0383,0024,아스트로,월세,13.84,202601,300,30,3,2013,부산광역시,금정구,장전동,0,2641010800,2641010800003830024
부산광역시 금정구 장전동,233-1,0233,0001,라온터,월세,12.23,202601,500,29,3,2014,부산광역시,금정구,장전동,0,2641010800,2641010800002330001
부산광역시 금정구 장전동,23-20,0023,0020,iHome,월세,20.88,202601,500,27,3,2000,부산광역시,금정구,장전동,0,2641010800,2641010800000230020
부산광역시 금정구 부곡동,22-2,0022,0002,청우룸,월세,15.88,202601,500,25,3,2013,부산광역시,금정구,부곡동,0,2641010900,2641010900000220002
부산광역시 중구 보수동3가,61-14,0061,0014,아트빌,월세,18.72,202601,500,30,4,2003,부산광역시,중구,보수동3가,0,2611012200,2611012200000610014
부산광역시 동래구 온천동,1461-5,1461,0005,(1461-5),월세,16.5,202601,400,40,3,2017,부산광역시,동래구,온천동,0,2626010800,2626010800014610005
부산광역시 부산진구 가야동,408-183,0408,0183,대동빌라A동,월세,20.1,202601,100,25,3,2007,부산광역시,부산진구,가야동,0,2623011000,2623011000004080183
부산광역시 서구 암남동,16-3,0016,0003,빌라수A,월세,23.925,202601,"3,000",42,3,2015,부산광역시,서구,암남동,0,2614012400,2614012400000160003
부산광역시 동구 좌천동,1172,1172,0000,갤럭시하버타운,월세,21.4068,202601,"12,000",2,2,2020,부산광역시,동구,좌천동,0,2617010300,2617010300011720000
부산광역시 부산진구 개금동,616-5,0616,0005,해오름C동,월세,13.3,202601,500,30,5,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100006160005
부산광역시 부산진구 개금동,177-340,0177,0340,강산힐타워,월세,20.64,202601,500,32,3,2013,부산광역시,부산진구,개금동,0,2623011100,2623011100001770340
부산광역시 부산진구 개금동,177-340,0177,0340,강산힐타워,월세,20.64,202601,500,32,3,2013,부산광역시,부산진구,개금동,0,2623011100,2623011100001770340
부산광역시 남구 대연동,563-4,0563,0004,그레이스힐,월세,14.44,202601,300,29,2,2012,부산광역시,남구,대연동,0,2629010600,2629010600005630004
부산광역시 남구 대연동,1756-19,1756,0019,센텀에이스,월세,11.96,202601,"1,000",25,4,2018,부산광역시,남구,대연동,0,2629010600,2629010600017560019
부산광역시 남구 대연동,50-3,0050,0003,그린나래빌,월세,13.54,202601,500,34,3,2011,부산광역시,남구,대연동,0,2629010600,2629010600000500003
부산광역시 남구 대연동,1732-14,1732,0014,villade금양,월세,13.99,202601,500,36,2,2018,부산광역시,남구,대연동,0,2629010600,2629010600017320014
부산광역시 남구 대연동,346-9,0346,0009,영하우스빌,월세,27.8,202601,300,40,2,2003,부산광역시,남구,대연동,0,2629010600,2629010600003460009
부산광역시 남구 대연동,509-5,0509,0005,가람하우스,월세,15.488,202601,300,31,3,2015,부산광역시,남구,대연동,0,2629010600,2629010600005090005
부산광역시 남구 대연동,1724-18,1724,0018,한마음레미안,월세,14.1,202601,200,31,5,2010,부산광역시,남구,대연동,0,2629010600,2629010600017240018
부산광역시 남구 대연동,43-12,0043,0012,미소원룸,월세,19.54,202601,500,35,3,2010,부산광역시,남구,대연동,0,2629010600,2629010600000430012
부산광역시 서구 부민동1가,13-11,0013,0011,대성가빌딩,월세,14.87,202601,500,33,6,2014,부산광역시,서구,부민동1가,0,2614010900,2614010900000130011
부산광역시 서구 부용동2가,30-10,0030,0010,더휴,월세,14.5,202601,500,37,3,2012,부산광역시,서구,부용동2가,0,2614010800,2614010800000300010
부산광역시 동구 초량동,91-24,0091,0024,동구해동원룸,월세,14.875,202601,"1,000",35,4,2013,부산광역시,동구,초량동,0,2617010100,2617010100000910024
부산광역시 동구 초량동,1049,1049,0000,한집시티빌,월세,11.42,202601,"1,000",15,2,2013,부산광역시,동구,초량동,0,2617010100,2617010100010490000
부산광역시 부산진구 양정동,262-1,0262,0001,이든캐슬,월세,15.86,202601,500,27,2,2014,부산광역시,부산진구,양정동,0,2623010100,2623010100002620001
부산광역시 부산진구 양정동,321-7,0321,0007,수목하우스B동,월세,17.43,202601,500,39,10,2017,부산광역시,부산진구,양정동,0,2623010100,2623010100003210007
부산광역시 부산진구 부전동,426-13,0426,0013,태양빌,월세,16.74,202601,500,35,5,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004260013
부산광역시 동래구 사직동,69-3,0069,0003,센트럴뉴파크,전세,21.2492,202601,"12,000",0,3,2019,부산광역시,동래구,사직동,0,2626010900,2626010900000690003
부산광역시 동래구 사직동,69-3,0069,0003,센트럴뉴파크,전세,21.2492,202601,"10,500",0,3,2019,부산광역시,동래구,사직동,0,2626010900,2626010900000690003
부산광역시 서구 동대신동3가,13-27,0013,0027,화송,월세,13.72,202601,500,40,2,2011,부산광역시,서구,동대신동3가,0,2614010300,2614010300000130027
부산광역시 남구 대연동,43-20,0043,0020,해마루,월세,16.99,202601,"2,000",12,2,2010,부산광역시,남구,대연동,0,2629010600,2629010600000430020
부산광역시 남구 대연동,571-14,0571,0014,썬샤인에코시티7차,월세,12.17,202601,"2,000",37,3,2023,부산광역시,남구,대연동,0,2629010600,2629010600005710014
부산광역시 영도구 청학동,84-41,0084,0041,(84-41),월세,26.69,202601,500,35,2,2020,부산광역시,영도구,청학동,0,2620012000,2620012000000840041
부산광역시 금정구 구서동,1007-31,1007,0031,블루아,월세,14.04,202601,"1,000",36,3,2016,부산광역시,금정구,구서동,0,2641010700,2641010700010070031
부산광역시 남구 대연동,58-6,0058,0006,대정빌딩,월세,16.09,202601,300,38,6,2011,부산광역시,남구,대연동,0,2629010600,2629010600000580006
부산광역시 사하구 하단동,870-64,0870,0064,피엔제이하우스,월세,18.39,202601,500,44,8,2019,부산광역시,사하구,하단동,0,2638010300,2638010300008700064
부산광역시 남구 대연동,1501-7,1501,0007,HI-ONE,월세,22.71,202601,"6,000",8,4,2012,부산광역시,남구,대연동,0,2629010600,2629010600015010007
부산광역시 남구 대연동,33-14,0033,0014,늘조은집,월세,23.48,202601,500,32,5,2011,부산광역시,남구,대연동,0,2629010600,2629010600000330014
부산광역시 남구 대연동,905-1,0905,0001,메인빌리지,월세,19.9575,202601,"1,000",50,2,2020,부산광역시,남구,대연동,0,2629010600,2629010600009050001
부산광역시 남구 대연동,1726-3,1726,0003,마루빌,월세,15.58,202601,300,32,2,2014,부산광역시,남구,대연동,0,2629010600,2629010600017260003
부산광역시 금정구 장전동,35,0035,0000,드림밸리,월세,20.37,202601,"1,000",50,2,2013,부산광역시,금정구,장전동,0,2641010800,2641010800000350000
부산광역시 동래구 온천동,444-17,0444,0017,신세계빌,월세,17.87,202601,300,22,3,2011,부산광역시,동래구,온천동,0,2626010800,2626010800004440017
부산광역시 남구 대연동,884-6,0884,0006,세인트폴,월세,16.32,202601,"2,000",31,3,2022,부산광역시,남구,대연동,0,2629010600,2629010600008840006
부산광역시 금정구 장전동,136-1,0136,0001,은정마루,월세,12.6,202601,500,29,5,2013,부산광역시,금정구,장전동,0,2641010800,2641010800001360001
부산광역시 금정구 장전동,276-30,0276,0030,네버랜드111,월세,14.14,202601,500,37,2,2015,부산광역시,금정구,장전동,0,2641010800,2641010800002760030
부산광역시 사하구 당리동,309-6,0309,0006,당리동포레스트힐,월세,18.795,202601,500,35,3,2011,부산광역시,사하구,당리동,0,2638010200,2638010200003090006
부산광역시 남구 대연동,1721-7,1721,0007,유니스,월세,16.02,202601,300,37,2,2012,부산광역시,남구,대연동,0,2629010600,2629010600017210007
부산광역시 금정구 장전동,35,0035,0000,드림밸리,월세,20.37,202601,"1,000",50,2,2013,부산광역시,금정구,장전동,0,2641010800,2641010800000350000
부산광역시 동래구 온천동,1380-18,1380,0018,M팰리스,월세,16.125,202601,500,45,11,2018,부산광역시,동래구,온천동,0,2626010800,2626010800013800018
부산광역시 중구 부평동4가,37-6,0037,0006,로하스,월세,22.0,202601,500,45,4,2014,부산광역시,중구,부평동4가,0,2611012600,2611012600000370006
부산광역시 중구 부평동4가,37-6,0037,0006,로하스,월세,22.0,202601,500,45,4,2014,부산광역시,중구,부평동4가,0,2611012600,2611012600000370006
부산광역시 동래구 사직동,113-19,0113,0019,아르피나,월세,18.76,202601,100,33,4,2012,부산광역시,동래구,사직동,0,2626010900,2626010900001130019
부산광역시 서구 암남동,62-20,0062,0020,(62-20),월세,21.28,202601,"1,000",40,1,2015,부산광역시,서구,암남동,0,2614012400,2614012400000620020
부산광역시 사하구 괴정동,854,0854,0000,한솔타운,월세,17.88,202601,300,35,3,2012,부산광역시,사하구,괴정동,0,2638010100,2638010100008540000
부산광역시 부산진구 양정동,248-1,0248,0001,양정파크,월세,21.86,202601,"1,000",74,18,2025,부산광역시,부산진구,양정동,0,2623010100,2623010100002480001
부산광역시 동구 좌천동,1172,1172,0000,갤럭시하버타운,월세,22.4579,202601,"13,000",10,3,2020,부산광역시,동구,좌천동,0,2617010300,2617010300011720000
부산광역시 금정구 남산동,994-13,0994,0013,호암더베스트빌,월세,13.94,202601,300,30,4,2013,부산광역시,금정구,남산동,0,2641010400,2641010400009940013
부산광역시 부산진구 개금동,177-199,0177,0199,스마트웰,월세,15.11,202601,200,32,5,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100001770199
부산광역시 사하구 괴정동,854,0854,0000,한솔타운,월세,17.88,202601,300,35,3,2012,부산광역시,사하구,괴정동,0,2638010100,2638010100008540000
부산광역시 서구 아미동2가,126-142,0126,0142,포레스타.피엠,전세,17.6,202601,"7,000",0,4,2019,부산광역시,서구,아미동2가,0,2614011600,2614011600001260142
부산광역시 부산진구 부전동,420-9,0420,0009,더테라,월세,28.56,202601,500,53,3,2011,부산광역시,부산진구,부전동,0,2623010300,2623010300004200009
부산광역시 서구 서대신동1가,102-2,0102,0002,해동원룸,월세,15.82,202601,300,32,5,2011,부산광역시,서구,서대신동1가,0,2614010400,2614010400001020002
부산광역시 영도구 봉래동2가,116-2,0116,0002,블루빌리지A동,월세,19.19,202601,500,35,4,2012,부산광역시,영도구,봉래동2가,0,2620011600,2620011600001160002
부산광역시 부산진구 개금동,169-27,0169,0027,마메종,월세,23.2,202601,"1,000",32,2,2011,부산광역시,부산진구,개금동,0,2623011100,2623011100001690027
부산광역시 부산진구 부전동,420-5,0420,0005,누보,월세,19.72,202601,"2,000",25,5,2011,부산광역시,부산진구,부전동,0,2623010300,2623010300004200005
부산광역시 해운대구 송정동,181-18,0181,0018,라온하우스,월세,13.62,202601,500,30,2,2015,부산광역시,해운대구,송정동,0,2635010800,2635010800001810018
부산광역시 부산진구 부전동,417-7,0417,0007,대박힐링,월세,24.14,202601,"2,000",37,10,2015,부산광역시,부산진구,부전동,0,2623010300,2623010300004170007
부산광역시 사하구 하단동,492-46,0492,0046,린다포레스트1,월세,18.12,202601,"2,800",20,7,2019,부산광역시,사하구,하단동,0,2638010300,2638010300004920046
부산광역시 부산진구 개금동,177-428,0177,0428,프라임,월세,23.34,202601,500,35,5,2013,부산광역시,부산진구,개금동,0,2623011100,2623011100001770428
부산광역시 해운대구 중동,1499-17,1499,0017,경신플러스빌,월세,24.65,202601,200,30,2,2002,부산광역시,해운대구,중동,0,2635010600,2635010600014990017
부산광역시 동래구 사직동,143-49,0143,0049,제이에스하우스,전세,16.3464,202601,"8,500",0,2,2022,부산광역시,동래구,사직동,0,2626010900,2626010900001430049
부산광역시 금정구 남산동,26-1,0026,0001,궁전하이츠,월세,19.15,202601,300,30,3,2002,부산광역시,금정구,남산동,0,2641010400,2641010400000260001
부산광역시 남구 대연동,1737-1,1737,0001,초원타워,월세,16.02,202601,500,31,4,2011,부산광역시,남구,대연동,0,2629010600,2629010600017370001
부산광역시 부산진구 부전동,426-13,0426,0013,태양빌,월세,22.66,202601,"1,900",30,5,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004260013
부산광역시 금정구 금사동,59-7,0059,0007,그린스위트,월세,18.1,202601,300,30,3,2017,부산광역시,금정구,금사동,0,2641011100,2641011100000590007
부산광역시 남구 대연동,38-9,0038,0009,33빌,월세,14.945,202601,500,30,2,2012,부산광역시,남구,대연동,0,2629010600,2629010600000380009
부산광역시 사하구 장림동,305,0305,0000,스타빌,월세,16.36,202601,300,29,4,2016,부산광역시,사하구,장림동,0,2638010500,2638010500003050000
부산광역시 남구 용호동,388-2,0388,0002,대정빌,월세,16.8284,202601,200,36,2,2022,부산광역시,남구,용호동,0,2629010700,2629010700003880002
부산광역시 사상구 주례동,55-154,0055,0154,금강나이스빌,월세,14.74,202601,300,28,4,2014,부산광역시,사상구,주례동,0,2653010600,2653010600000550154
부산광역시 수영구 광안동,103-16,0103,0016,명성콜렉트1,월세,16.585,202601,"1,000",37,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001030016
부산광역시 수영구 광안동,753-4,0753,0004,로드더숲에이,전세,23.62,202601,"10,000",0,4,2017,부산광역시,수영구,광안동,0,2650010400,2650010400007530004
부산광역시 수영구 광안동,145-12,0145,0012,흑석비치파크,전세,25.9,202601,"11,000",0,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001450012
부산광역시 수영구 광안동,104-30,0104,0030,강남럭스빌3,월세,15.43,202601,"1,000",39,3,2016,부산광역시,수영구,광안동,0,2650010400,2650010400001040030
부산광역시 수영구 광안동,128-11,0128,0011,모먼트리,전세,25.93,202601,"13,500",0,2,2020,부산광역시,수영구,광안동,0,2650010400,2650010400001280011
부산광역시 사상구 괘법동,543-6,0543,0006,블루마린,월세,17.07,202601,300,31,2,2011,부산광역시,사상구,괘법동,0,2653010400,2653010400005430006
부산광역시 연제구 연산동,632-5,0632,0005,트라움하우스12차,월세,23.86,202601,500,41,3,2017,부산광역시,연제구,연산동,0,2647010200,2647010200006320005
부산광역시 사상구 주례동,172-1,0172,0001,동양캐슬,월세,16.36,202601,500,35,12,2012,부산광역시,사상구,주례동,0,2653010600,2653010600001720001
부산광역시 수영구 남천동,36-25,0036,0025,푸른별,월세,16.76,202601,500,32,3,2012,부산광역시,수영구,남천동,0,2650010500,2650010500000360025
부산광역시 사상구 주례동,149-5,0149,0005,골든파크2,월세,14.81,202601,500,42,3,2017,부산광역시,사상구,주례동,0,2653010600,2653010600001490005
부산광역시 연제구 연산동,1293-20,1293,0020,금광빌,월세,21.34,202601,"1,000",28,2,2012,부산광역시,연제구,연산동,0,2647010200,2647010200012930020
부산광역시 연제구 연산동,1503-32,1503,0032,꿈에그린,월세,19.85,202601,500,34,3,2013,부산광역시,연제구,연산동,0,2647010200,2647010200015030032
부산광역시 수영구 망미동,425-1,0425,0001,아트빌,월세,17.49,202601,300,29,3,2010,부산광역시,수영구,망미동,0,2650010100,2650010100004250001
부산광역시 연제구 연산동,485-3,0485,0003,센텀하우스,월세,15.95,202601,500,39,4,2013,부산광역시,연제구,연산동,0,2647010200,2647010200004850003
부산광역시 수영구 광안동,120-39,0120,0039,보람뉴타운,전세,12.24,202601,"6,500",0,4,2018,부산광역시,수영구,광안동,0,2650010400,2650010400001200039
부산광역시 수영구 광안동,1069-18,1069,0018,오케이보람,월세,16.393,202601,"1,000",30,5,2016,부산광역시,수영구,광안동,0,2650010400,2650010400010690018
부산광역시 수영구 광안동,90-10,0090,0010,트윈하우스,월세,23.18,202601,500,29,2,2002,부산광역시,수영구,광안동,0,2650010400,2650010400000900010
부산광역시 수영구 광안동,379-51,0379,0051,광안드림빌,월세,18.21,202601,"4,000",20,5,2011,부산광역시,수영구,광안동,0,2650010400,2650010400003790051
부산광역시 수영구 광안동,105-21,0105,0021,케이스카이월드,월세,21.66,202601,"2,000",51,4,2021,부산광역시,수영구,광안동,0,2650010400,2650010400001050021
부산광역시 동래구 사직동,855-2,0855,0002,후하우스,월세,15.87,202601,250,45,5,2011,부산광역시,동래구,사직동,0,2626010900,2626010900008550002
부산광역시 사하구 하단동,870-339,0870,0339,더드림,월세,15.16,202601,300,35,9,2018,부산광역시,사하구,하단동,0,2638010300,2638010300008700339
부산광역시 사하구 하단동,492-47,0492,0047,린다포레스트2,월세,14.35,202601,"2,800",33,7,2019,부산광역시,사하구,하단동,0,2638010300,2638010300004920047
부산광역시 사하구 하단동,492-47,0492,0047,린다포레스트2,월세,14.35,202601,"2,800",31,7,2019,부산광역시,사하구,하단동,0,2638010300,2638010300004920047
부산광역시 동래구 사직동,70-34,0070,0034,(70-34),전세,27.4769,202601,"15,000",0,7,2021,부산광역시,동래구,사직동,0,2626010900,2626010900000700034
부산광역시 동래구 사직동,69-5,0069,0005,명화하우스,월세,17.6,202601,0,45,2,2013,부산광역시,동래구,사직동,0,2626010900,2626010900000690005
부산광역시 서구 토성동2가,9-2,0009,0002,토성스타,전세,12.17,202601,"4,000",0,6,2013,부산광역시,서구,토성동2가,0,2614011300,2614011300000090002
부산광역시 동구 초량동,295-16,0295,0016,짐머,월세,14.92,202601,500,34,4,2012,부산광역시,동구,초량동,0,2617010100,2617010100002950016
부산광역시 서구 토성동1가,36-8,0036,0008,아델하우스,월세,16.66,202601,500,42,6,2012,부산광역시,서구,토성동1가,0,2614011200,2614011200000360008
부산광역시 부산진구 부전동,466-23,0466,0023,이룸하우스,월세,14.92,202601,500,27,7,2013,부산광역시,부산진구,부전동,0,2623010300,2623010300004660023
부산광역시 중구 영주동,619-1,0619,0001,한정오피스텔,월세,24.67,202601,200,29,5,2013,부산광역시,중구,영주동,0,2611010100,2611010100006190001
부산광역시 중구 영주동,555-11,0555,0011,민하우스,월세,26.38,202601,500,43,3,2011,부산광역시,중구,영주동,0,2611010100,2611010100005550011
부산광역시 금정구 남산동,120-2,0120,0002,세진빌,월세,14.85,202601,"1,000",35,6,2018,부산광역시,금정구,남산동,0,2641010400,2641010400001200002
부산광역시 서구 동대신동2가,253-9,0253,0009,대신캐슬빌리지,월세,17.07,202601,"3,000",25,2,2021,부산광역시,서구,동대신동2가,0,2614010200,2614010200002530009
부산광역시 서구 동대신동1가,153-19,0153,0019,스마트빌,월세,15.53,202601,500,30,2,2012,부산광역시,서구,동대신동1가,0,2614010100,2614010100001530019
부산광역시 연제구 거제동,89-58,0089,0058,조이빌,월세,16.12,202601,300,26,2,2003,부산광역시,연제구,거제동,0,2647010100,2647010100000890058
부산광역시 부산진구 전포동,196-2,0196,0002,오렌지카운티,월세,17.48,202601,500,36,2,2012,부산광역시,부산진구,전포동,0,2623010200,2623010200001960002
부산광역시 부산진구 전포동,663-1,0663,0001,베스아이스타,월세,20.24,202601,150,55,5,2017,부산광역시,부산진구,전포동,0,2623010200,2623010200006630001
부산광역시 금정구 장전동,412-6,0412,0006,테라101,월세,29.53,202601,500,36,4,2018,부산광역시,금정구,장전동,0,2641010800,2641010800004120006
부산광역시 부산진구 부전동,410-15,0410,0015,화이트빌A동,월세,16.15,202601,300,35,5,2012,부산광역시,부산진구,부전동,0,2623010300,2623010300004100015
부산광역시 동래구 사직동,855-2,0855,0002,후하우스,월세,15.93,202601,250,55,4,2011,부산광역시,동래구,사직동,0,2626010900,2626010900008550002
부산광역시 남구 대연동,877-5,0877,0005,더퍼스트,월세,13.08,202601,"1,000",67,3,2023,부산광역시,남구,대연동,0,2629010600,2629010600008770005
부산광역시 남구 대연동,43-27,0043,0027,나래빌,월세,21.78,202601,"3,000",42,2,2003,부산광역시,남구,대연동,0,2629010600,2629010600000430027
부산광역시 남구 대연동,635-12,0635,0012,그린빌,월세,18.605,202601,500,37,4,2006,부산광역시,남구,대연동,0,2629010600,2629010600006350012
부산광역시 남구 대연동,16,0016,0000,영스퀘어,전세,20.45,202601,"6,300",0,5,2013,부산광역시,남구,대연동,0,2629010600,2629010600000160000
부산광역시 남구 대연동,345-6,0345,0006,S2갤러리,월세,13.006,202601,"1,000",26,4,2017,부산광역시,남구,대연동,0,2629010600,2629010600003450006
부산광역시 남구 대연동,1729-6,1729,0006,스카이캐슬,월세,14.25,202601,500,46,13,2019,부산광역시,남구,대연동,0,2629010600,2629010600017290006
부산광역시 금정구 장전동,28-7,0028,0007,에이플러스빌,월세,12.1,202601,500,24,2,2012,부산광역시,금정구,장전동,0,2641010800,2641010800000280007
부산광역시 금정구 장전동,23-12,0023,0012,센텀우리,월세,14.15,202601,500,33,3,2018,부산광역시,금정구,장전동,0,2641010800,2641010800000230012
부산광역시 부산진구 가야동,454-56,0454,0056,영원빌,월세,18.97,202601,500,38,5,2013,부산광역시,부산진구,가야동,0,2623011000,2623011000004540056
부산광역시 금정구 서동,209-12,0209,0012,지원연립,월세,29.29,202601,200,25,2,1979,부산광역시,금정구,서동,0,2641011000,2641011000002090012
부산광역시 남구 대연동,1464-3,1464,0003,디웰하우스,월세,15.2572,202601,"6,000",30,3,2020,부산광역시,남구,대연동,0,2629010600,2629010600014640003
부산광역시 부산진구 개금동,177-175,0177,0175,휴먼스빌,월세,16.29,202601,200,35,4,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100001770175
부산광역시 동구 수정동,1007-4,1007,0004,강남럭스빌,월세,23.99,202601,"1,000",21,4,2014,부산광역시,동구,수정동,0,2617010200,2617010200010070004
부산광역시 금정구 장전동,192-2,0192,0002,우성에버빌,월세,13.8,202601,"1,000",29,2,2013,부산광역시,금정구,장전동,0,2641010800,2641010800001920002
부산광역시 금정구 장전동,134-4,0134,0004,OliveZone,월세,16.19,202601,500,27,2,2013,부산광역시,금정구,장전동,0,2641010800,2641010800001340004
부산광역시 사하구 하단동,506-23,0506,0023,성호아트빌,월세,12.87,202601,200,35,2,2011,부산광역시,사하구,하단동,0,2638010300,2638010300005060023
부산광역시 서구 부민동3가,35-4,0035,0004,씨엘레지던스,월세,15.67,202601,"1,000",40,3,2014,부산광역시,서구,부민동3가,0,2614011100,2614011100000350004
부산광역시 부산진구 가야동,454-57,0454,0057,로하스,월세,14.37,202601,"1,000",43,10,2017,부산광역시,부산진구,가야동,0,2623011000,2623011000004540057
부산광역시 서구 부민동3가,77,0077,0000,부민르엘,월세,26.177,202601,"1,000",23,2,2025,부산광역시,서구,부민동3가,0,2614011100,2614011100000770000
부산광역시 해운대구 중동,1495-1,1495,0001,스카이빌라,월세,22.95,202601,200,30,4,2002,부산광역시,해운대구,중동,0,2635010600,2635010600014950001
부산광역시 금정구 장전동,24-7,0024,0007,라온빌리지,월세,16.4,202601,500,37,2,2017,부산광역시,금정구,장전동,0,2641010800,2641010800000240007
부산광역시 남구 대연동,16,0016,0000,영스퀘어,월세,13.28,202601,"4,500",6,4,2013,부산광역시,남구,대연동,0,2629010600,2629010600000160000
부산광역시 남구 대연동,1733-11,1733,0011,문화인스타빌,월세,15.08,202601,500,37,2,2017,부산광역시,남구,대연동,0,2629010600,2629010600017330011
부산광역시 남구 대연동,1721-8,1721,0008,행복하우스,월세,16.4475,202601,500,35,5,2013,부산광역시,남구,대연동,0,2629010600,2629010600017210008
부산광역시 금정구 장전동,153-6,0153,0006,청마빌,월세,12.4506,202601,300,37,4,2015,부산광역시,금정구,장전동,0,2641010800,2641010800001530006
부산광역시 동구 초량동,90-12,0090,0012,하늘마루,월세,18.94,202601,"1,000",38,5,2013,부산광역시,동구,초량동,0,2617010100,2617010100000900012
부산광역시 동래구 사직동,21-29,0021,0029,루아219,월세,26.6,202601,"1,000",60,5,2023,부산광역시,동래구,사직동,0,2626010900,2626010900000210029
