시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동
부산광역시 수영구 광안동,103-41,103,41,명성콜렉트2,월세,24.345,202603,"10,000",2,2,2017,부산광역시,수영구,광안동
부산광역시 연제구 연산동,635-24,635,24,수림원룸,월세,17.37,202603,100,21,2,2002,부산광역시,연제구,연산동
부산광역시 수영구 광안동,186-30,186,30,골드리치하우스,전세,20.74,202603,"5,000",0,5,2012,부산광역시,수영구,광안동
부산광역시 수영구 광안동,120-167,120,167,지산하우스,월세,18.45,202603,500,31,3,2012,부산광역시,수영구,광안동
부산광역시 수영구 광안동,103-16,103,16,명성콜렉트1,월세,16.585,202603,500,16,4,2017,부산광역시,수영구,광안동
부산광역시 연제구 연산동,867-31,867,31,이스타나빌,월세,20.66,202603,"4,000",25,2,2016,부산광역시,연제구,연산동
부산광역시 사상구 주례동,74-46,74,46,동이빌,월세,10.8195,202603,"1,000",33,6,2018,부산광역시,사상구,주례동
부산광역시 연제구 연산동,1405-25,1405,25,하이트빌B동,월세,16.38,202603,300,40,3,2012,부산광역시,연제구,연산동
부산광역시 남구 대연동,899-5,899,5,엘이즈디공오,월세,18.86,202603,"1,000",63,3,2021,부산광역시,남구,대연동
부산광역시 남구 대연동,1758-18,1758,18,더존하우스,월세,27.88,202603,"8,500",13,4,2013,부산광역시,남구,대연동
부산광역시 남구 대연동,543-2,543,2,르씨엘대연,월세,12.53,202603,"11,000",10,3,2022,부산광역시,남구,대연동
부산광역시 금정구 부곡동,308-32,308,32,그린빌,월세,17.33,202603,200,29,2,2011,부산광역시,금정구,부곡동
부산광역시 서구 동대신동3가,13-13,13,13,구덕파크빌,월세,16.09,202603,500,35,2,2013,부산광역시,서구,동대신동3가
부산광역시 중구 대청동4가,82-21,82,21,대청포세이돈아크로,월세,15.16,202603,"8,000",17,12,2020,부산광역시,중구,대청동4가
부산광역시 서구 서대신동3가,61-17,61,17,동아드림파크,월세,28.94,202603,"1,000",30,4,2003,부산광역시,서구,서대신동3가
부산광역시 부산진구 양정동,238-8,238,8,골든하우스,월세,17.0435,202603,300,29,4,2010,부산광역시,부산진구,양정동
부산광역시 남구 용호동,486-40,486,40,파크블루12차,월세,16.99,202603,300,46,11,2024,부산광역시,남구,용호동
부산광역시 동래구 명장동,57-26,57,26,칸타빌,월세,18.51,202603,500,35,2,2011,부산광역시,동래구,명장동
부산광역시 부산진구 전포동,882-18,882,18,화수분,월세,20.46,202603,300,33,4,2012,부산광역시,부산진구,전포동
부산광역시 부산진구 개금동,177-101,177,101,미즈디,월세,15.19,202603,150,42,3,2013,부산광역시,부산진구,개금동
부산광역시 북구 구포동,413-12,413,12,센트럴시티,월세,13.6762,202603,300,30,3,2018,부산광역시,북구,구포동
부산광역시 해운대구 재송동,1073-18,1073,18,센텀스타빌,월세,29.7,202603,300,39,2,2012,부산광역시,해운대구,재송동
부산광역시 서구 충무동2가,1-25,1,25,충무프라임빌,월세,14.465,202603,500,45,4,2016,부산광역시,서구,충무동2가
부산광역시 부산진구 양정동,314-2,314,2,건아펜트하우스,월세,15.15,202603,500,39,9,2021,부산광역시,부산진구,양정동
부산광역시 부산진구 양정동,138-7,138,7,정원스카이힐,월세,27.35,202603,"2,000",29,2,2013,부산광역시,부산진구,양정동
부산광역시 동래구 온천동,1464-38,1464,38,태성오피스텔,전세,21.37,202603,"10,000",0,7,2015,부산광역시,동래구,온천동
부산광역시 부산진구 부전동,410-15,410,15,화이트빌A동,월세,15.74,202603,500,37,7,2012,부산광역시,부산진구,부전동
부산광역시 부산진구 부전동,122-2,122,2,초이스,월세,17.61,202603,300,40,5,2010,부산광역시,부산진구,부전동
부산광역시 부산진구 가야동,644-25,644,25,마이크로하우스,월세,13.6,202603,500,35,5,2012,부산광역시,부산진구,가야동
부산광역시 부산진구 가야동,644-25,644,25,마이크로하우스,월세,13.6,202603,500,35,5,2012,부산광역시,부산진구,가야동
부산광역시 중구 동광동5가,12-9,12,9,태양빌리지,월세,25.95,202603,500,20,3,2003,부산광역시,중구,동광동5가
부산광역시 수영구 광안동,145-40,145,40,흑석그린파크,월세,16.2,202603,"3,000",22,3,2017,부산광역시,수영구,광안동
부산광역시 수영구 광안동,102-21,102,21,올리브하우스,월세,14.58,202603,500,39,4,2017,부산광역시,수영구,광안동
부산광역시 수영구 광안동,145-40,145,40,흑석그린파크,전세,24.27,202603,"10,000",0,3,2017,부산광역시,수영구,광안동
부산광역시 연제구 연산동,621-2,621,2,연제베스트빌,월세,18.55,202603,500,24,2,2012,부산광역시,연제구,연산동
부산광역시 사상구 주례동,166-87,166,87,양지코쿤빌32차,월세,12.545,202603,300,24,4,2013,부산광역시,사상구,주례동
부산광역시 수영구 광안동,102-24,102,24,카사엘,월세,25.61,202603,"8,000",2,4,2014,부산광역시,수영구,광안동
부산광역시 수영구 광안동,102-28,102,28,햇살하우스,월세,17.82,202603,500,30,4,2010,부산광역시,수영구,광안동
부산광역시 수영구 광안동,142-10,142,10,두성벨라지오,월세,25.39,202603,"1,000",56,5,2012,부산광역시,수영구,광안동
부산광역시 수영구 광안동,659-8,659,8,센티움시티7차,월세,22.6666,202603,"1,000",65,10,2018,부산광역시,수영구,광안동
부산광역시 수영구 광안동,135-3,135,3,하늘마루,전세,19.17,202603,"8,400",0,4,2017,부산광역시,수영구,광안동
부산광역시 수영구 광안동,165-22,165,22,두성아빌로스,월세,19.96,202603,500,41,3,2013,부산광역시,수영구,광안동
부산광역시 연제구 연산동,410-29,410,29,금강블루빌,월세,16.54,202603,300,33,2,2012,부산광역시,연제구,연산동
부산광역시 남구 대연동,1501-13,1501,13,메타시티,월세,14.573,202603,500,63,2,2025,부산광역시,남구,대연동
부산광역시 북구 덕천동,319-7,319,7,원시티,월세,15.4,202603,"1,000",30,2,2016,부산광역시,북구,덕천동
부산광역시 사하구 하단동,595-17,595,17,블루원,월세,13.13,202603,"2,000",22,4,2013,부산광역시,사하구,하단동
부산광역시 부산진구 개금동,616-7,616,7,라인힐스,전세,29.16,202603,"14,000",0,2,2022,부산광역시,부산진구,개금동
부산광역시 중구 보수동3가,71-8,71,8,일강빌,월세,12.28,202603,300,30,5,2014,부산광역시,중구,보수동3가
부산광역시 동래구 온천동,480-35,480,35,스파캐슬,월세,16.481,202603,300,30,3,2013,부산광역시,동래구,온천동
부산광역시 사하구 괴정동,536-2,536,2,성심드림하우스,전세,28.96,202603,"8,400",0,2,2020,부산광역시,사하구,괴정동
부산광역시 금정구 장전동,134-4,134,4,OliveZone,월세,18.04,202603,500,30,3,2013,부산광역시,금정구,장전동
