시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세금(만원),층,건축년도,시도,구,법정동,산여부,법정동코드,PNU,경도,위도,좌표조회방식,좌표조회에러
부산광역시 수영구 민락동,159-1,159,1,더코아,월세,19.77,202509,300,40,5,2010,부산광역시,수영구,민락동,0,2650010300,2650010300001590001,129.1230583958715,35.15984598169399,parcel_address,
부산광역시 남구 대연동,286-8,286,8,센텀뷰2,월세,12.33,202509,300,32,4,2012,부산광역시,남구,대연동,0,2629010600,2629010600002860008,129.09172460898844,35.13832664702913,parcel_address,
부산광역시 서구 토성동1가,2-2,2,2,더샵,월세,17.32,202509,500,40,4,2013,부산광역시,서구,토성동1가,0,2614011200,2614011200000020002,129.0223145333983,35.100950238172096,parcel_address,
부산광역시 남구 대연동,1463-5,1463,5,대동레미안3원룸,월세,16.45,202509,150,45,5,2012,부산광역시,남구,대연동,0,2629010600,2629010600014630005,129.08933155509294,35.13829187103174,parcel_address,
부산광역시 남구 용호동,384-19,384,19,대명,전세,28.5,202509,"3,500",0,2,1980,부산광역시,남구,용호동,0,2629010700,2629010700003840019,129.11516256875282,35.11776987642442,parcel_address,
부산광역시 해운대구 송정동,190-18,190,18,(190-18),월세,22.42,202509,"1,000",38,3,2015,부산광역시,해운대구,송정동,0,2635010800,2635010800001900018,129.20365259268658,35.18577678259979,parcel_address,
부산광역시 동래구 수안동,11-29,11,29,아르피나,월세,18.36,202509,200,43,2,2014,부산광역시,동래구,수안동,0,2626010600,2626010600000110029,129.08290020773694,35.19773639380506,parcel_address,
부산광역시 남구 대연동,1458-2,1458,2,에이원,월세,17.62,202509,300,32,2,2012,부산광역시,남구,대연동,0,2629010600,2629010600014580002,129.08886675985931,35.13711126236157,parcel_address,
부산광역시 남구 대연동,905-8,905,8,동원ROSE,월세,12.1,202509,300,31,4,2012,부산광역시,남구,대연동,0,2629010600,2629010600009050008,129.0985486228111,35.132326796471816,parcel_address,
부산광역시 남구 대연동,289-2,289,2,세라리움,월세,15.4037,202509,"1,000",38,4,2019,부산광역시,남구,대연동,0,2629010600,2629010600002890002,129.09292051105558,35.13767179139338,parcel_address,
부산광역시 남구 대연동,571-14,571,14,썬샤인에코시티7차,월세,12.66,202509,500,47,5,2023,부산광역시,남구,대연동,0,2629010600,2629010600005710014,129.09857725349664,35.13111436468027,parcel_address,
부산광역시 남구 대연동,1458-2,1458,2,에이원,월세,17.62,202509,300,31,2,2012,부산광역시,남구,대연동,0,2629010600,2629010600014580002,129.08886675985931,35.13711126236157,parcel_address,
부산광역시 부산진구 전포동,555-1,555,1,힐링하우스,월세,20.16,202509,"3,000",29,11,2020,부산광역시,부산진구,전포동,0,2623010200,2623010200005550001,129.06618957409245,35.16495394076857,parcel_address,
부산광역시 부산진구 전포동,197-20,197,20,보라빌,월세,17.66,202509,500,30,6,2011,부산광역시,부산진구,전포동,0,2623010200,2623010200001970020,129.06649184486565,35.15877476000992,parcel_address,
부산광역시 사하구 다대동,1123,1123,0,한영빌,월세,14.68,202509,200,37,3,2013,부산광역시,사하구,다대동,0,2638010600,2638010600011230000,128.9729081855674,35.05805935717612,parcel_address,
부산광역시 서구 암남동,6-1,6,1,신한빌리지,월세,13.692,202509,300,32,6,2012,부산광역시,서구,암남동,0,2614012400,2614012400000060001,129.0128394164475,35.08296221954697,parcel_address,
부산광역시 부산진구 전포동,663-1,663,1,베스아이스타,월세,19.67,202509,150,45,5,2017,부산광역시,부산진구,전포동,0,2623010200,2623010200006630001,129.06465015396856,35.1585328855717,parcel_address,
부산광역시 부산진구 개금동,419-8,419,8,파란채,전세,16.409,202509,"5,000",0,2,2012,부산광역시,부산진구,개금동,0,2623011100,2623011100004190008,129.02209439956994,35.15685839205709,parcel_address,
부산광역시 부산진구 양정동,140-22,140,22,정성가,월세,19.74,202509,500,34,5,2014,부산광역시,부산진구,양정동,0,2623010100,2623010100001400022,129.07552125466916,35.175914404497036,parcel_address,
부산광역시 서구 토성동1가,8-15,8,15,건원안단테스위트,월세,18.5,202509,300,35,6,2011,부산광역시,서구,토성동1가,0,2614011200,2614011200000080015,129.0235986848371,35.100108984377684,parcel_address,
부산광역시 서구 토성동4가,17-4,17,4,JK캐슬,월세,15.785,202509,"1,000",31,8,2017,부산광역시,서구,토성동4가,0,2614011700,2614011700000170004,129.02313743085034,35.097404865334184,parcel_address,
부산광역시 부산진구 전포동,355-10,355,10,영원렉스빌,월세,21.98,202509,500,37,3,2013,부산광역시,부산진구,전포동,0,2623010200,2623010200003550010,129.06627175990883,35.152960221806666,parcel_address,
부산광역시 동구 초량동,296-39,296,39,골드캐슬뷰,월세,18.07,202509,500,50,9,2017,부산광역시,동구,초량동,0,2617010100,2617010100002960039,129.03775620484845,35.117919368439885,parcel_address,
부산광역시 해운대구 재송동,1080-1,1080,1,토즈빌,월세,16.84,202509,300,35,4,2012,부산광역시,해운대구,재송동,0,2635010400,2635010400010800001,129.12341802666373,35.18749904315817,parcel_address,
부산광역시 동래구 온천동,1449-17,1449,17,스테이온694,월세,9.57,202509,500,40,10,2025,부산광역시,동래구,온천동,0,2626010800,2626010800014490017,129.07052442848254,35.20367286643709,parcel_address,
부산광역시 금정구 남산동,97-2,97,2,영남골든파크,월세,20.073,202509,"1,000",37,3,2013,부산광역시,금정구,남산동,0,2641010400,2641010400000970002,129.09028326360715,35.26862787318847,parcel_address,
부산광역시 연제구 연산동,712-43,712,43,정원시티빌,월세,15.835,202509,100,32,2,2010,부산광역시,연제구,연산동,0,2647010200,2647010200007120043,129.08268879807753,35.182522505063936,parcel_address,
부산광역시 수영구 광안동,690-8,690,8,W하우스6,월세,19.395,202509,500,29,3,2012,부산광역시,수영구,광안동,0,2650010400,2650010400006900008,129.11314470685778,35.16472848545219,parcel_address,
부산광역시 수영구 광안동,157-22,157,22,정산페블비치,월세,13.7,202509,500,29,2,2013,부산광역시,수영구,광안동,0,2650010400,2650010400001570022,129.11978624824536,35.157712884103745,parcel_address,
부산광역시 사상구 주례동,149-27,149,27,경보포유,월세,25.7032,202509,500,55,5,2017,부산광역시,사상구,주례동,0,2653010600,2653010600001490027,129.00954112129037,35.150266095173066,parcel_address,
부산광역시 수영구 망미동,210-16,210,16,후스,월세,22.307,202509,500,43,4,2021,부산광역시,수영구,망미동,0,2650010100,2650010100002100016,129.11843809204225,35.1742434286058,parcel_address,
부산광역시 수영구 광안동,106-3,106,3,광안럭스빌,월세,19.43,202509,"2,000",32,5,2018,부산광역시,수영구,광안동,0,2650010400,2650010400001060003,129.11878923131303,35.163337776208394,parcel_address,
부산광역시 수영구 광안동,88-22,88,22,한집시티빌,전세,26.25,202509,"7,000",0,3,2016,부산광역시,수영구,광안동,0,2650010400,2650010400000880022,129.11670841622947,35.16593428694083,parcel_address,
부산광역시 수영구 광안동,90-45,90,45,브라운하우스,월세,22.28,202509,300,32,5,2012,부산광역시,수영구,광안동,0,2650010400,2650010400000900045,129.1159330118383,35.165452920831044,parcel_address,
부산광역시 수영구 광안동,662-25,662,25,다움하우스,월세,15.98,202509,300,35,5,2012,부산광역시,수영구,광안동,0,2650010400,2650010400006620025,129.1131398627728,35.16339157401946,parcel_address,
부산광역시 사상구 모라동,985-4,985,4,제우스,월세,16.65,202509,300,41,5,2018,부산광역시,사상구,모라동,0,2653010200,2653010200009850004,128.9892748245768,35.18899955404197,parcel_address,
부산광역시 수영구 광안동,497-2,497,2,태백그린하우스,월세,22.13,202509,"2,000",46,5,2017,부산광역시,수영구,광안동,0,2650010400,2650010400004970002,129.11138110896223,35.16272650875294,parcel_address,
부산광역시 기장군 기장읍 청강리,80-1,80,1,가우디움1,월세,27.9271,202509,500,52,2,2021,부산광역시,기장군,기장읍,0,2671025000,2671025000000800001,129.21577177661015,35.24238456841759,parcel_address,
부산광역시 수영구 광안동,120-163,120,163,보람리치빌,월세,25.66,202509,500,33,4,2011,부산광역시,수영구,광안동,0,2650010400,2650010400001200163,129.1142520658161,35.16037895753841,parcel_address,
부산광역시 수영구 광안동,120-32,120,32,WELLMADEBYS.H,전세,22.0615,202509,"11,000",0,3,2017,부산광역시,수영구,광안동,0,2650010400,2650010400001200032,129.1163217094338,35.16125837512568,parcel_address,
부산광역시 수영구 광안동,497-2,497,2,태백그린하우스,월세,21.48,202509,"1,000",37,2,2017,부산광역시,수영구,광안동,0,2650010400,2650010400004970002,129.11138110896223,35.16272650875294,parcel_address,
부산광역시 연제구 연산동,328-23,328,23,합동펜트하우스,월세,29.5225,202509,"1,000",75,3,2023,부산광역시,연제구,연산동,0,2647010200,2647010200003280023,129.08897705185356,35.1864494616584,parcel_address,
부산광역시 연제구 연산동,1261-10,1261,10,샬롬빌,월세,16.14,202509,"2,000",20,5,2010,부산광역시,연제구,연산동,0,2647010200,2647010200012610010,129.08136559799635,35.18096503170602,parcel_address,
부산광역시 사상구 주례동,210-1,210,1,경향쉐르빌,월세,21.5939,202509,500,50,9,2020,부산광역시,사상구,주례동,0,2653010600,2653010600002100001,129.00807219362343,35.15195849624304,parcel_address,
부산광역시 연제구 연산동,328-23,328,23,합동펜트하우스,월세,29.5225,202509,"1,000",75,3,2023,부산광역시,연제구,연산동,0,2647010200,2647010200003280023,129.08897705185356,35.1864494616584,parcel_address,
부산광역시 연제구 연산동,1310-25,1310,25,가우스빌,월세,26.25,202509,500,35,5,2012,부산광역시,연제구,연산동,0,2647010200,2647010200013100025,129.08005329494165,35.18179183250738,parcel_address,
