법정동코드,법정동명,폐지여부
2120011200,부산직할시 영도구 신선동1가,폐지
2120011300,부산직할시 영도구 신선동2가,폐지
2120011400,부산직할시 영도구 신선동3가,폐지
2120011500,부산직할시 영도구 봉래동1가,폐지
2120011600,부산직할시 영도구 봉래동2가,폐지
2120011700,부산직할시 영도구 봉래동3가,폐지
2120011800,부산직할시 영도구 봉래동4가,폐지
2120011900,부산직할시 영도구 봉래동5가,폐지
2120012000,부산직할시 영도구 청학동,폐지
2120012100,부산직할시 영도구 동삼동,폐지
2120090100,부산직할시 영도구 청학1동,폐지
2120090200,부산직할시 영도구 청학2동,폐지
2120090300,부산직할시 영도구 동삼1동,폐지
2120090400,부산직할시 영도구 동삼2동,폐지
2123000000,부산직할시 부산진구,폐지
2123000100,부산직할시 부산진구 구포동,폐지
2123000200,부산직할시 부산진구 금곡동,폐지
2123000300,부산직할시 부산진구 화명동,폐지
2123000400,부산직할시 부산진구 덕천동,폐지
2123000500,부산직할시 부산진구 만덕동,폐지
2123000600,부산직할시 부산진구 삼락동,폐지
2123000700,부산직할시 부산진구 모라동,폐지
2123000800,부산직할시 부산진구 덕포동,폐지
2123000900,부산직할시 부산진구 괘법동,폐지
2123001000,부산직할시 부산진구 감전동,폐지
2123001100,부산직할시 부산진구 엄궁동,폐지
2123001200,부산직할시 부산진구 주례동,폐지
2123001300,부산직할시 부산진구 학장동,폐지
2123001400,부산직할시 부산진구 금성동,폐지
2123001500,부산직할시 부산진구 대연동,폐지
2123001600,부산직할시 부산진구 용호동,폐지
2123001700,부산직할시 부산진구 용당동,폐지
2123001800,부산직할시 부산진구 감만동,폐지
2123001900,부산직할시 부산진구 우암동,폐지
2123002000,부산직할시 부산진구 남천동,폐지
2123002100,부산직할시 부산진구 적기동2가,폐지
2123002200,부산직할시 부산진구 문현동,폐지
2123002300,부산직할시 부산진구 성지동,폐지
2123002400,부산직할시 부산진구 동평동,폐지
2123002500,부산직할시 부산진구 범일동,폐지
2123010100,부산직할시 부산진구 양정동,폐지
2123010200,부산직할시 부산진구 전포동,폐지
2123010300,부산직할시 부산진구 부전동,폐지
2123010400,부산직할시 부산진구 범천동,폐지
2123010500,부산직할시 부산진구 범전동,폐지
2123010600,부산직할시 부산진구 연지동,폐지
2123010700,부산직할시 부산진구 초읍동,폐지
2123010800,부산직할시 부산진구 부암동,폐지
2123010900,부산직할시 부산진구 당감동,폐지
2123011000,부산직할시 부산진구 가야동,폐지
2123011100,부산직할시 부산진구 개금동,폐지
2123090100,부산직할시 부산진구 부전1동,폐지
2123090200,부산직할시 부산진구 부전2동,폐지
2123090300,부산직할시 부산진구 양정1동,폐지
2123090400,부산직할시 부산진구 양정2동,폐지
2123090500,부산직할시 부산진구 양정3동,폐지
2123090600,부산직할시 부산진구 양정4동,폐지
2123090700,부산직할시 부산진구 전포1동,폐지
2123090800,부산직할시 부산진구 전포2동,폐지
2123090900,부산직할시 부산진구 전포3동,폐지
2123091000,부산직할시 부산진구 전포4동,폐지
2123091100,부산직할시 부산진구 부암1동,폐지
2123091200,부산직할시 부산진구 부암2동,폐지
2123091300,부산직할시 부산진구 부암3동,폐지
2123091400,부산직할시 부산진구 당감1동,폐지
2123091500,부산직할시 부산진구 당감2동,폐지
2123091600,부산직할시 부산진구 당감3동,폐지
2123091700,부산직할시 부산진구 당감4동,폐지
2123091800,부산직할시 부산진구 가야1동,폐지
2123091900,부산직할시 부산진구 가야2동,폐지
2123092000,부산직할시 부산진구 가야3동,폐지
2123092100,부산직할시 부산진구 개금1동,폐지
2123092200,부산직할시 부산진구 개금2동,폐지
2123092300,부산직할시 부산진구 개금3동,폐지
2123092400,부산직할시 부산진구 범천1동,폐지
2123092500,부산직할시 부산진구 범천2동,폐지
2123092600,부산직할시 부산진구 범천3동,폐지
